"Assay ID - IEDB IRI","Epitope - IEDB IRI","Complex - PDB ID"
http://www.iedb.org/assay/1812188,http://www.iedb.org/epitope/142362,1K4D
http://www.iedb.org/assay/1812368,http://www.iedb.org/epitope/142365,1S5H
http://www.iedb.org/assay/1812399,http://www.iedb.org/epitope/142361,1R3J
http://www.iedb.org/assay/1812401,http://www.iedb.org/epitope/142361,1R3K
http://www.iedb.org/assay/1812402,http://www.iedb.org/epitope/142361,1R3I
http://www.iedb.org/assay/1812403,http://www.iedb.org/epitope/142361,1R3L
http://www.iedb.org/assay/1812573,http://www.iedb.org/epitope/142361,2ITC
http://www.iedb.org/assay/1812574,http://www.iedb.org/epitope/142361,2ITD
http://www.iedb.org/assay/1812575,http://www.iedb.org/epitope/142361,2NLJ
http://www.iedb.org/assay/1812580,http://www.iedb.org/epitope/226416,2HJF
http://www.iedb.org/assay/1812581,http://www.iedb.org/epitope/146704,1ZWI
http://www.iedb.org/assay/1812582,http://www.iedb.org/epitope/146704,2ATK
http://www.iedb.org/assay/1813180,http://www.iedb.org/epitope/149232,1CIC
http://www.iedb.org/assay/1813215,http://www.iedb.org/epitope/143262,2P42
http://www.iedb.org/assay/1813222,http://www.iedb.org/epitope/143262,2P43
http://www.iedb.org/assay/1813225,http://www.iedb.org/epitope/143262,2P44
http://www.iedb.org/assay/1813226,http://www.iedb.org/epitope/143262,2P45
http://www.iedb.org/assay/1813229,http://www.iedb.org/epitope/143262,2P46
http://www.iedb.org/assay/1813230,http://www.iedb.org/epitope/143262,2P47
http://www.iedb.org/assay/1813231,http://www.iedb.org/epitope/143262,2P48
http://www.iedb.org/assay/1813237,http://www.iedb.org/epitope/128165,3CX5
http://www.iedb.org/assay/1813239,http://www.iedb.org/epitope/128165,3CXH
http://www.iedb.org/assay/1813244,http://www.iedb.org/epitope/2134675,2QQN
http://www.iedb.org/assay/1813253,http://www.iedb.org/epitope/143277,2QQK
http://www.iedb.org/assay/1813256,http://www.iedb.org/epitope/143277,2QQL
http://www.iedb.org/assay/1813461,http://www.iedb.org/epitope/226416,2HVK
http://www.iedb.org/assay/1813467,http://www.iedb.org/epitope/226416,2HVJ
http://www.iedb.org/assay/1813468,http://www.iedb.org/epitope/226416,2DWD
http://www.iedb.org/assay/1813469,http://www.iedb.org/epitope/226416,2DWE
http://www.iedb.org/assay/1813768,http://www.iedb.org/epitope/2135412,3EO1
http://www.iedb.org/assay/1813783,http://www.iedb.org/epitope/146712,2ARJ
http://www.iedb.org/assay/1815659,http://www.iedb.org/epitope/143278,3B9K
http://www.iedb.org/assay/1816223,http://www.iedb.org/epitope/2144581,3KJ6
http://www.iedb.org/assay/1816841,http://www.iedb.org/epitope/2134853,3BSZ
http://www.iedb.org/assay/1817555,http://www.iedb.org/epitope/177402,3G6D
http://www.iedb.org/assay/1818220,http://www.iedb.org/epitope/540307,2VXS
http://www.iedb.org/assay/1818983,http://www.iedb.org/epitope/2134638,3HI6
http://www.iedb.org/assay/1819296,http://www.iedb.org/epitope/2135316,3H0T
http://www.iedb.org/assay/1819645,http://www.iedb.org/epitope/2135419,3DVN
http://www.iedb.org/assay/1819647,http://www.iedb.org/epitope/2135425,3DVG
http://www.iedb.org/assay/1821941,http://www.iedb.org/epitope/2134567,2VDR
http://www.iedb.org/assay/1822584,http://www.iedb.org/epitope/2134654,3L95
http://www.iedb.org/assay/1822611,http://www.iedb.org/epitope/149191,3L5W
http://www.iedb.org/assay/1822612,http://www.iedb.org/epitope/149191,3L5X
http://www.iedb.org/assay/1822632,http://www.iedb.org/epitope/149191,4PS4
http://www.iedb.org/assay/1822722,http://www.iedb.org/epitope/164108,1IAI
http://www.iedb.org/assay/1823136,http://www.iedb.org/epitope/158572,1PG7
http://www.iedb.org/assay/1823567,http://www.iedb.org/epitope/2135383,3G6J
http://www.iedb.org/assay/1831442,http://www.iedb.org/epitope/158571,3IYW
http://www.iedb.org/assay/1831619,http://www.iedb.org/epitope/144859,3IXX
http://www.iedb.org/assay/1831632,http://www.iedb.org/epitope/144833,3IXY
http://www.iedb.org/assay/1831823,http://www.iedb.org/epitope/149182,2YBR
http://www.iedb.org/assay/1831824,http://www.iedb.org/epitope/149182,2YC1
http://www.iedb.org/assay/1834377,http://www.iedb.org/epitope/159265,2X7L
http://www.iedb.org/assay/1834450,http://www.iedb.org/epitope/2135091,3C09
http://www.iedb.org/assay/1835247,http://www.iedb.org/epitope/164094,3LQA
http://www.iedb.org/assay/1838721,http://www.iedb.org/epitope/150793,2HMI
http://www.iedb.org/assay/1838737,http://www.iedb.org/epitope/150096,1T03
http://www.iedb.org/assay/1838738,http://www.iedb.org/epitope/150954,1R0A
http://www.iedb.org/assay/1838812,http://www.iedb.org/epitope/149210,3PGF
http://www.iedb.org/assay/1840782,http://www.iedb.org/epitope/164081,2CMR
http://www.iedb.org/assay/1841603,http://www.iedb.org/epitope/164074,1GC1
http://www.iedb.org/assay/1841644,http://www.iedb.org/epitope/150815,1AFV
http://www.iedb.org/assay/1842148,http://www.iedb.org/epitope/150096,1N6Q
http://www.iedb.org/assay/1842151,http://www.iedb.org/epitope/150096,1N5Y
http://www.iedb.org/assay/1845035,http://www.iedb.org/epitope/2135418,2QR0
http://www.iedb.org/assay/1845941,http://www.iedb.org/epitope/149215,3R1G
http://www.iedb.org/assay/1845995,http://www.iedb.org/epitope/150956,2XQY
http://www.iedb.org/assay/1846595,http://www.iedb.org/epitope/164069,1G9N
http://www.iedb.org/assay/1846596,http://www.iedb.org/epitope/2144584,3P0G
http://www.iedb.org/assay/1847946,http://www.iedb.org/epitope/164067,2I5Y
http://www.iedb.org/assay/1848062,http://www.iedb.org/epitope/164067,2I60
http://www.iedb.org/assay/1848099,http://www.iedb.org/epitope/164071,3HI1
http://www.iedb.org/assay/1848119,http://www.iedb.org/epitope/164073,3IDX
http://www.iedb.org/assay/1848125,http://www.iedb.org/epitope/164073,3IDY
http://www.iedb.org/assay/1848226,http://www.iedb.org/epitope/164070,2QAD
http://www.iedb.org/assay/1848480,http://www.iedb.org/epitope/150955,1HYS
http://www.iedb.org/assay/1848621,http://www.iedb.org/epitope/174343,2NY7
http://www.iedb.org/assay/1848902,http://www.iedb.org/epitope/164069,1RZK
